benchmark,rank,flow,score,gap
ispd18_test3,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),10891990,5662141
ispd18_test3,10,PL: Contest; GR: Contest; DR: LuLuRoute,178905476,173675627
ispd18_test4,1,PL: ILP-Based; GR: ILP-based; DR: Triton,14871507,0
ispd18_test4,2,PL: Contest; GR: CUGR; DR: Triton,14890247,18740
ispd18_test4,3,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),14895477,23970
ispd18_test4,4,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),14920001,48494
ispd18_test4,5,PL: Contest; GR: Contest; DR: Triton,15074474,202967
ispd18_test4,6,PL: DreamPlace; GR: CUGR; DR: Triton,15090783,219276
ispd18_test4,7,PL: Eh?Placer; GR: CUGR; DR: Triton,15094104,222597
ispd18_test4,8,PL: Contest; GR: Contest; DR: DRCU,15756404,884897
ispd18_test4,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),29975364,15103857
ispd18_test4,10,PL: Contest; GR: Contest; DR: LuLuRoute,733474118,718602611
ispd18_test5,1,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),15541039,0
ispd18_test5,2,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),15561892,20853
ispd18_test5,3,PL: Contest; GR: CUGR; DR: Triton,15570889,29850
ispd18_test5,4,PL: ILP-Based; GR: ILP-based; DR: Triton,15618446,77407
ispd18_test5,5,PL: DreamPlace; GR: CUGR; DR: Triton,15860929,319890
ispd18_test5,6,PL: Eh?Placer; GR: CUGR; DR: Triton,15973244,432205
ispd18_test5,7,PL: Contest; GR: Contest; DR: Triton,16077964,536925
ispd18_test5,8,PL: Contest; GR: Contest; DR: DRCU,16366742,825703
ispd18_test5,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),34619841,19078802
ispd18_test5,10,PL: Contest; GR: Contest; DR: LuLuRoute,735559666,720018627
ispd18_test6,1,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),20487284,0
ispd18_test6,2,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),20536296,49012
ispd18_test6,3,PL: Contest; GR: CUGR; DR: Triton,20546240,58956
ispd18_test6,4,PL: ILP-Based; GR: ILP-based; DR: Triton,20676442,189158
ispd18_test6,5,PL: Contest; GR: Contest; DR: Triton,21352958,865674
ispd18_test6,6,PL: Contest; GR: Contest; DR: DRCU,21630645,1143361
ispd18_test6,7,PL: DreamPlace; GR: CUGR; DR: Triton,22310094,1822810
ispd18_test6,8,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),44131547,23644263
ispd18_test6,9,PL: Contest; GR: Contest; DR: LuLuRoute,352317181,331829897
ispd18_test6,10,PL: Eh?Placer; GR: CUGR; DR: Triton,dnf,dnf
ispd18_test7,1,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),36825575,0
ispd18_test7,2,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),36856187,30612
ispd18_test7,3,PL: Contest; GR: CUGR; DR: Triton,36896992,71417
ispd18_test7,4,PL: ILP-Based; GR: ILP-based; DR: Triton,37008855,183280
ispd18_test7,5,PL: DreamPlace; GR: CUGR; DR: Triton,37372992,547417
ispd18_test7,6,PL: Eh?Placer; GR: CUGR; DR: Triton,37458730,633155
ispd18_test7,7,PL: Contest; GR: Contest; DR: Triton,38148393,1322818
ispd18_test7,8,PL: Contest; GR: Contest; DR: DRCU,38412191,1586616
